OMNIA MARKDOWN ACCESSIBILITY EXCEL REPORT
Generated,2026-09-15 10:28:18

SUMMARY STATISTICS
Metric,Baseline,Current,Change
Total Issues,74,4,70
Errors,11,4,7
Warnings,63,0,63
Suggestions,0,0,0

ISSUE TYPE BREAKDOWN
Issue Type,Baseline Count,Current Count,Fixed,Priority
INSECURE_EXTERNAL_LINK,61,0,61,LOW
INVALID_CODE_LANGUAGE,2,0,2,LOW
MISSING_FIGURE_CAPTION,8,3,5,UNKNOWN
NON_DESCRIPTIVE_LINK,3,1,2,MEDIUM

FILE-LEVEL STATISTICS
File Path,Baseline Issues,Current Issues,Fixed,Percentage Fixed
..\docs\HowTo\Setup\configure_kernel_version_override.md,12,0,12,100.0%
..\docs\Troubleshooting\local_repo.md,7,0,7,100.0%
..\docs\HowTo\BuildStreaM\initialize_telemetry.md,6,0,6,100.0%
..\docs\HowTo\Telemetry\configure_ldms.md,6,0,6,100.0%
..\docs\HowTo\Telemetry\telemetry_from_ome.md,5,0,5,100.0%
..\docs\HowTo\Telemetry\verify_ome.md,5,0,5,100.0%
..\docs\Reference\ClusterRequirements\software_requirements.md,4,0,4,100.0%
..\docs\HowTo\Slurm\host_slurm_repo.md,4,0,4,100.0%
..\docs\HowTo\Telemetry\verify_ldms.md,4,0,4,100.0%
..\docs\HowTo\Telemetry\verify_idrac.md,4,0,4,100.0%
..\docs\HowTo\Telemetry\configure_idrac.md,4,0,4,100.0%
..\docs\index.md,3,3,0,0.0%
..\docs\HowTo\Setup\prepare_oim.md,2,0,2,100.0%
..\docs\Reference\Metrics\ufm_metrics.md,1,1,0,0.0%
..\docs\Contributing\index.md,1,0,1,100.0%
..\docs\HowTo\Telemetry\configure_external_kafka.md,1,0,1,100.0%
..\docs\HowTo\Slurm\setup_slurm.md,1,0,1,100.0%
..\docs\Overview\telemetry_architecture.md,1,0,1,100.0%
..\docs\Troubleshooting\openchami.md,1,0,1,100.0%
..\docs\Troubleshooting\provisioning.md,1,0,1,100.0%
..\docs\Troubleshooting\buildstream.md,1,0,1,100.0%

DETAILED ISSUE DATA
File,Line,Issue Type,Severity,Message,Status,Priority
..\docs\Reference\Metrics\ufm_metrics.md,42,NON_DESCRIPTIVE_LINK,ERROR,Link text is not descriptive: 'UFM Metrics Link Speed',Remaining,MEDIUM
..\docs\index.md,4,MISSING_FIGURE_CAPTION,ERROR,Image alt text is missing or not descriptive,Remaining,UNKNOWN
..\docs\index.md,7,MISSING_FIGURE_CAPTION,ERROR,Image alt text is missing or not descriptive,Remaining,UNKNOWN
..\docs\index.md,8,MISSING_FIGURE_CAPTION,ERROR,Image alt text is missing or not descriptive,Remaining,UNKNOWN

SEVERITY BREAKDOWN FOR CHARTS
Severity,Baseline,Current,Change
ERROR,11,4,7
WARNING,63,0,63
SUGGESTION,0,0,0

END OF REPORT
