Parameter,Mandatory/Optional,Description
gitlab_host,Mandatory,"* IP address of the target host where GitLab will be deployed.
* Must be accessible from the OIM server.
* Must be configured in build_stream/gitlab/inventory/hosts.ini"
gitlab_project_name,Mandatory,"* Name of the GitLab project Omnia will create/manage.
* **Default value**: ""omnia-catalog""
* This project will be created automatically if it does not exist."
gitlab_project_visibility,Mandatory,"* Visibility options that you can set it for the GitLab project.
* **Possible Values:** 
    *private: Project access must be granted explicitly for each user
    *internal: The project can be cloned by any logged in user
    *public: The project can be cloned without any authentication

"
gitlab_default_branch,Mandatory,"* The default branch used for repository and API operations
* **Default value:** ""main""
* This branch is used as the default for all operations"
gitlab_https_port,Mandatory,"* HTTPS port exposed via GitLab NGINX
* **Defaulat value:**  443
* Must be between 1-65535
* Must not conflict with other services"
gitlab_min_storage_gb,Mandatory,"* Free disk space validated before install
* ** Default value:**  20
* GitLab requires at least  20GB of free disk space"
gitlab_min_cpu_cores,Mandatory,"* Minimum CPU core count validated before install
* **Default value:** 2
* More cores may be needed for production workloads"
gitlab_disable_prometheus,Mandatory,"* Disable Prometheus bundled monitoring to save resources
* **Default value:** true
* Set to false to enable Prometheus monitoring"
gitlab_disable_grafana,Mandatory,"*  Disable Grafana if not needed
* **Default value:** true
*  Set to false to enable Grafana dashboards"
gitlab_puma_workers,Mandatory,"* Number of worker processes
* **Default value:** 2
*  Scale with CPU cores (recommended: 1-2 workers per CPU core)"
gitlab_sidekiq_concurrency,Mandatory,"* Background job concurrency
* ** Default value:** 10
* Adjust based on available memory and workload"
