Network Name,Parameters for the network,Parameter details
"``admin_network``","**oim_nic_name**

``string``

Mandatory",The name of the interface on the OIM server associated with the admin network. **Default value**: ``eno1``"
,"**subnet**

``IP address``

Mandatory",The subnet address for the admin network. **Default value**: ``172.16.0.0``"
,"**netmask_bits**

``integer``

Mandatory",The number of bits in the subnet mask. **Default value**: ``24``"
,"**primary_oim_admin_ip**

``IP address``

Mandatory",The admin IP address of the OIM server which is configured. **Default value**: ``172.16.107.254``"
,"**primary_oim_bmc_ip**

``IP address``

Optional","The iDRAC IP address of the OIM server. Mandatory only if idrac_telemetry is set to true and telemetry data needs to be collected from the OIM server. Optional - can be omitted if iDRAC telemetry for the OIM server is not required. **Default value**: ``""``"
,"**dynamic_range**

``IP address range``

Mandatory",The range of dynamic IP addresses available on the admin network. **Default value**: ``172.16.107.201-172.16.107.250``"
,"**dns**

``array of IP addresses``

Optional","The list of external DNS server IP addresses for the admin network. **Default value**: ``[]``"
,"**ntp_servers**

``array of NTP server objects``

Optional","The list of NTP servers for the admin network. Each NTP server entry should include address (IP address or hostname) and type (server or pool). **Default value**: ``[]``"
,"**additional_subnets**

``array of subnet objects``

Optional","Optional field for multi-RAC/multi-subnet PXE deployments. Each entry defines a separate subnet that the CoreDHCP server will manage via DHCP relay (giaddr-based routing). Requires coresmd v0.5+ with multi-subnet support. Leave empty array (``[]``) for single-subnet deployments. **Default value**: ``[]``

Each additional subnet entry contains the following parameters:

* subnet - The network address of the additional subnet (e.g. ""10.40.1.0"")
* netmask_bits - The CIDR prefix length (e.g. ""24"")
* router - The gateway/router IP for this subnet (used as DHCP option 3)
* dynamic_range - The DHCP IP pool range in ""start_ip-end_ip"" format. Must fall within the subnet.

See documentation for example configuration."
"ib_network","**subnet**

``IP address``

Mandatory","The subnet of the IB network. **Default value**: ``192.168.0.0``"
,"**netmask_bits**

``integer``

Mandatory","The number of bits in the subnet mask. This value must be same as the admin_network netmask_bits. **Default value**: ``24``"
,"**dns**

``array of IP addresses``

Optional","External DNS server IP addresses for the InfiniBand network. **Default value**: ``[]``"
