Variables,Mandatory/Optional,Details
``cluster_name``,Mandatory,"* **Type**: String
* Name of the cluster on which you want to deploy Kubernetes.
* This input is case-sensitive. Do not add any special characters except ``_`` (underscore) in the cluster name."
``deployment``,Mandatory,"* **Type**: Boolean
* Indicates if Kubernetes will be deployed or not.
* **Accepted values**: ``true`` or ``false``"
``k8s_cni``,Mandatory,"* **Type**: String
* Kubernetes SDN network.
* **Accepted values**: ``calico``
* **Default value**: ``calico``"
``pod_external_ip_range``,Mandatory,"* **Type**: String
* These addresses will be used by the loadbalancer for assigning external IPs to Kubernetes services.
* Ensure that the IP range provided is not assigned to any node in the cluster.
* Ensure that the ``pod_external_ip_range`` defined in the ``omnia_config.yml``  file is reachable from the OpenManage Enterprise appliance and the SFM network.
* **Sample values**: ``172.16.107.170-172.16.107.200``                             "
``k8s_service_addresses``,Optional,"* **Type**: String
* Kubernetes internal network for services.
* This network must be unused in your network infrastructure.
* **Default value**: ``""10.233.0.0/18""`` "
``k8s_pod_network_cidr``,Optional,"* **Type**: String
* Kubernetes pod network CIDR for internal network. When used, it will assign IP addresses from this range to individual pods.
* This network must be unused in your network infrastructure.
* **Default value**: ``""10.233.64.0/18""``"
``csi_powerscale_driver_secret_file_path``,Optional,"* **Type**: File path
* If you want to deploy the CSI driver for PowerScale on your service cluster, add the file path of the ``secrets.yaml`` file to this variable."
``csi_powerscale_driver_values_file_path``,Optional,"* **Type**: File path
* If you want to deploy the CSI driver for PowerScale on your service cluster, add the file path of the ``values.yaml`` file to this variable."
``nfs_storage_name``,Mandatory,"* **Type**: String
* Use same name as mentioned in each of the ``name``  available in ``storage_config.yml``."
``k8s_crio_storage_size``,Mandatory,"* **Type**: String
* Specifies the disk size allocated for CRI-O container storage."
``etcd_on_local_disk``,Optional,"* **Type**: Boolean
* Determines whether ETCD is deployed on local disk or NFS storage.
* **Accepted values**: ``true`` or ``false``
* **Default value**: ``false``
* When set to ``true``, ETCD is deployed on local disk on all master nodes. The system prioritizes BOSS card if available, and falls back to SSD/SATA disks if BOSS is not present. The ``/var/lib/etcd`` directory is mounted on the selected local disk.
* When set to ``false`` or omitted, ETCD storage is provisioned using NFS, and no local disk configuration is performed for ETCD.
* **Important**: Migration from NFS to local disk is not supported during upgrades. This configuration is only applicable for fresh installations."
