"Parameter",Mandatory/Optional,Details
victoria_cluster > ``vmstorage`` > ``replicas``,Mandatory,"* Number of vmstorage pod replicas
* **Default value**: 3
* **Note**: For cluster mode, minimum 3 replicas are recommended for high availability"
victoria_cluster > ``vmstorage`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for vmstorage pods
* **Default value**: ``1Gi``"
victoria_cluster > ``vmstorage`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for vmstorage pods
* **Default value**: ``250m``"
victoria_cluster > ``vmstorage`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for vmstorage pods
* **Default value**: ``2Gi``"
victoria_cluster > ``vmstorage`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for vmstorage pods
* **Default value**: ``1000m``"
victoria_cluster > ``vminsert`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for vminsert pods
* **Default value**: ``256Mi``"
victoria_cluster > ``vminsert`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for vminsert pods
* **Default value**: ``100m``"
victoria_cluster > ``vminsert`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for vminsert pods
* **Default value**: ``512Mi``"
victoria_cluster > ``vminsert`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for vminsert pods
* **Default value**: ``500m``"
victoria_cluster > ``vmselect`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for vmselect pods
* **Default value**: ``256Mi``"
victoria_cluster > ``vmselect`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for vmselect pods
* **Default value**: ``100m``"
victoria_cluster > ``vmselect`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for vmselect pods
* **Default value**: ``512Mi``"
victoria_cluster > ``vmselect`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for vmselect pods
* **Default value**: ``500m``"
victoria_cluster > ``vmagent`` > ``replicas``,Mandatory,"* Number of vmagent pod replicas
* **Default value**: 2"
victoria_cluster > ``vmagent`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for vmagent pods
* **Default value**: ``128Mi``"
victoria_cluster > ``vmagent`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for vmagent pods
* **Default value**: ``50m``"
victoria_cluster > ``vmagent`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for vmagent pods
* **Default value**: ``512Mi``"
victoria_cluster > ``vmagent`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for vmagent pods
* **Default value**: ``250m``"
victoria_logs_cluster > ``vlstorage`` > ``replicas``,Mandatory,"* Number of vlstorage pod replicas
* **Default value**: 2"
victoria_logs_cluster > ``vlstorage`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for vlstorage pods
* **Default value**: ``512Mi``"
victoria_logs_cluster > ``vlstorage`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for vlstorage pods
* **Default value**: ``100m``"
victoria_logs_cluster > ``vlstorage`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for vlstorage pods
* **Default value**: ``1Gi``"
victoria_logs_cluster > ``vlstorage`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for vlstorage pods
* **Default value**: ``500m``"
victoria_logs_cluster > ``vlinsert`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for vlinsert pods
* **Default value**: ``256Mi``"
victoria_logs_cluster > ``vlinsert`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for vlinsert pods
* **Default value**: ``100m``"
victoria_logs_cluster > ``vlinsert`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for vlinsert pods
* **Default value**: ``512Mi``"
victoria_logs_cluster > ``vlinsert`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for vlinsert pods
* **Default value**: ``500m``"
victoria_logs_cluster > ``vlselect`` > ``replicas``,Mandatory,"* Number of vlselect pod replicas
* **Default value**: 2"
victoria_logs_cluster > ``vlselect`` > ``resources`` > ``requests`` > ``memory``,Mandatory,"* Memory request for vlselect pods
* **Default value**: ``256Mi``"
victoria_logs_cluster > ``vlselect`` > ``resources`` > ``requests`` > ``cpu``,Mandatory,"* CPU request for vlselect pods
* **Default value**: ``100m``"
victoria_logs_cluster > ``vlselect`` > ``resources`` > ``limits`` > ``memory``,Mandatory,"* Memory limit for vlselect pods
* **Default value**: ``512Mi``"
victoria_logs_cluster > ``vlselect`` > ``resources`` > ``limits`` > ``cpu``,Mandatory,"* CPU limit for vlselect pods
* **Default value**: ``500m``"
victoria_logs_cluster > ``vlagent`` > ``replicas``,Mandatory,"* Number of vlagent pod replicas
* **Default value**: 2"
victoria_logs_cluster > ``vlagent`` > ``pvc_size``,Mandatory,"* PVC size for vlagent pods
* **Accepted values**: Must be specified in the form of ``X[Ki|Mi|Gi|Ti|Pi|Ei]``
* **Default value**: ``5Gi``"
